model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.4,4,5,5,4|outer_5|inner_5,56,0.7243589743589743
Di-MMLP,0.0,0.4,22,1,1,22|outer_1|inner_1,57,0.5333333333333333
Di-MMLP,0.0,0.4,22,1,2,22|outer_1|inner_2,57,0.5209876543209877
Di-MMLP,0.0,0.4,22,1,3,22|outer_1|inner_3,57,0.49259259259259264
Di-MMLP,0.0,0.4,22,1,4,22|outer_1|inner_4,57,0.5679012345679012
Di-MMLP,0.0,0.4,22,1,5,22|outer_1|inner_5,57,0.4802469135802469
Di-MMLP,0.0,0.4,22,2,1,22|outer_2|inner_1,56,0.5274584929757343
Di-MMLP,0.0,0.4,22,2,2,22|outer_2|inner_2,56,0.43295019157088127
Di-MMLP,0.0,0.4,22,2,3,22|outer_2|inner_3,56,0.5478927203065134
Di-MMLP,0.0,0.4,22,2,4,22|outer_2|inner_4,56,0.5517241379310346
Di-MMLP,0.0,0.4,22,2,5,22|outer_2|inner_5,56,0.6398467432950191
Di-MMLP,0.0,0.4,22,3,1,22|outer_3|inner_1,56,0.5683269476372925
Di-MMLP,0.0,0.4,22,3,2,22|outer_3|inner_2,56,0.5019157088122606
Di-MMLP,0.0,0.4,22,3,3,22|outer_3|inner_3,56,0.5747126436781609
Di-MMLP,0.0,0.4,22,3,4,22|outer_3|inner_4,56,0.508301404853129
Di-MMLP,0.0,0.4,22,3,5,22|outer_3|inner_5,56,0.574712643678161
Di-MMLP,0.0,0.4,22,4,1,22|outer_4|inner_1,56,0.6845466155810984
Di-MMLP,0.0,0.4,22,4,2,22|outer_4|inner_2,56,0.7254150702426565
Di-MMLP,0.0,0.4,22,4,3,22|outer_4|inner_3,56,0.6794380587484036
Di-MMLP,0.0,0.4,22,4,4,22|outer_4|inner_4,56,0.648786717752235
Di-MMLP,0.0,0.4,22,4,5,22|outer_4|inner_5,56,0.6922094508301405
Di-MMLP,0.0,0.4,22,5,1,22|outer_5|inner_1,56,0.7256410256410256
Di-MMLP,0.0,0.4,22,5,2,22|outer_5|inner_2,56,0.5025641025641026
Di-MMLP,0.0,0.4,22,5,3,22|outer_5|inner_3,56,0.5717948717948718
