model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
HealNet,train,0.4,0.0,0.4,0.6098992304417592,0.06698064676049338,125,0.011645856665684295,0.5979668307299342,0.6212585440613028,0.6164549104365197,1.0107487920422724,0.019675669328600875,0.9910731227136715,1.0304244613708733,False
HealNet,train,0.6,0.0,0.6,0.591260595343354,0.07544171878865248,125,0.012956915545076442,0.5780300167010513,0.6039438477912041,0.6164549104365197,1.0426111858148353,0.023359742558904273,1.019251443255931,1.0659709283737395,False
HealNet,train,0.8,0.0,0.8,0.5412319743262273,0.07958846841911356,125,0.01384362838523756,0.5275058869568066,0.5551931437272817,0.6164549104365197,1.1389846492420121,0.029897665244125182,1.109086983997887,1.1688823144861373,False
KNN_MLP,train,0.0,0.0,0.0,0.6116368864001049,0.07187507327913648,125,0.01265445115761199,0.5990847997511216,0.6243937020663456,0.6116368864001049,1.0,0.021126581370435327,0.9788734186295647,1.0211265813704353,False
KNN_MLP,train,0.2,0.0,0.2,0.6176254641909813,0.06882023256549967,125,0.012080241182827467,0.6056681962864721,0.629828678652127,0.6116368864001049,0.9903038683828869,0.019755930886422357,0.9705479374964645,1.0100597992693092,False
KNN_MLP,train,0.4,0.0,0.4,0.6032026328715986,0.07429304726778095,125,0.012917758129482315,0.5896379690211875,0.6154734852801521,0.6116368864001049,1.013982454765415,0.022189930080659392,0.9917925246847556,1.0361723848460744,False
KNN_MLP,train,0.6,0.0,0.6,0.5719419851327897,0.08506165967313901,125,0.014726944035104994,0.5570690827520712,0.5865229708222812,0.6116368864001049,1.0694037197812976,0.028263861472812124,1.0411398583084854,1.0976675812541097,False
KNN_MLP,train,0.8,0.0,0.8,0.5237776991845958,0.08053465765606091,125,0.013600952287389056,0.5106994324917314,0.5379013370665096,0.6116368864001049,1.1677413669048646,0.031131161331591883,1.1366102055732727,1.1988725282364565,False
SMILe,train,0.0,0.0,0.0,0.6232616432524479,0.06446447608569117,125,0.011111115531977522,0.6120493453842879,0.634271576448243,0.6232616432524479,1.0,0.018150953121535585,0.9818490468784644,1.0181509531215356,False
SMILe,train,0.2,0.0,0.2,0.6160044667125125,0.07174247658980691,125,0.012500129023807205,0.6033922228771653,0.6283924809247797,0.6232616432524479,1.011781045320443,0.02095659106409231,0.9908244542563507,1.0327376363845353,False
SMILe,train,0.4,0.0,0.4,0.6053236270753513,0.06671558080790066,125,0.011017310967023575,0.5943069951206733,0.6163416170547205,0.6232616432524479,1.0296337618007165,0.019087455455945257,1.0105463063447713,1.0487212172566618,False
SMILe,train,0.6,0.0,0.6,0.5893135671480498,0.07664831216674516,125,0.013335842584405733,0.5761529004158891,0.6028245855847005,0.6232616432524479,1.057606133638986,0.024487177737987365,1.0331189559009986,1.0820933113769733,False
SMILe,train,0.8,0.0,0.8,0.5441681108163868,0.07643767604953552,125,0.012888402921046482,0.5311981415987165,0.5569749474408094,0.6232616432524479,1.1453476064913124,0.027785178349074346,1.117562428142238,1.1731327848403867,False
VAE_MLP,train,0.0,0.0,0.0,0.5955732914169697,0.07698846066739513,125,0.013362263319906864,0.5822838006352951,0.6090083272751088,0.5955732914169697,1.0,0.022950893533537187,0.9770491064664628,1.0229508935335372,False
VAE_MLP,train,0.2,0.0,0.2,0.6072448767069458,0.07362496360089762,125,0.012614268592199607,0.5944377057340277,0.6196662429184269,0.5955732914169697,0.9807794421366377,0.02080588376041337,0.9599735583762243,1.001585325897051,False
